File A,File B,Genre A,Genre B,Similarity,Same Genre
PLEDGE.wav,Took_Her_To_The_O.wav,rap,rap,0.9166,YES
Master_of_Puppets.wav,Ace_Of_Spades.wav,metal,metal,0.8793,YES
Cowboys_From_Hell.wav,Ace_Of_Spades.wav,metal,metal,0.8676,YES
Master_of_Puppets.wav,Cowboys_From_Hell.wav,metal,metal,0.8275,YES
MR_RECOUP.wav,PLEDGE.wav,rap,rap,0.7211,YES
MR_RECOUP.wav,Took_Her_To_The_O.wav,rap,rap,0.7187,YES
Took_Her_To_The_O.wav,Riptide.wav,rap,pop,0.651,NO
Master_of_Puppets.wav,Riptide.wav,metal,pop,0.6226,NO
Fur_Elise.wav,Toccata_Fugue.wav,classical,classical,0.5931,YES
Ace_Of_Spades.wav,Riptide.wav,metal,pop,0.5879,NO
MR_RECOUP.wav,Riptide.wav,rap,pop,0.5792,NO
Master_of_Puppets.wav,Took_Her_To_The_O.wav,metal,rap,0.5517,NO
PLEDGE.wav,Riptide.wav,rap,pop,0.5362,NO
Caprice_No24.wav,Fur_Elise.wav,classical,classical,0.5312,YES
Caprice_No24.wav,Toccata_Fugue.wav,classical,classical,0.524,YES
Master_of_Puppets.wav,PLEDGE.wav,metal,rap,0.5113,NO
Ace_Of_Spades.wav,Took_Her_To_The_O.wav,metal,rap,0.5056,NO
Cowboys_From_Hell.wav,Riptide.wav,metal,pop,0.4921,NO
Ace_Of_Spades.wav,PLEDGE.wav,metal,rap,0.479,NO
Cowboys_From_Hell.wav,Took_Her_To_The_O.wav,metal,rap,0.478,NO
Master_of_Puppets.wav,MR_RECOUP.wav,metal,rap,0.4696,NO
Caprice_No24.wav,Riptide.wav,classical,pop,0.469,NO
Cowboys_From_Hell.wav,PLEDGE.wav,metal,rap,0.4438,NO
Fur_Elise.wav,MR_RECOUP.wav,classical,rap,0.4317,NO
Ace_Of_Spades.wav,MR_RECOUP.wav,metal,rap,0.4247,NO
Fur_Elise.wav,Riptide.wav,classical,pop,0.4066,NO
Cowboys_From_Hell.wav,MR_RECOUP.wav,metal,rap,0.4027,NO
Fur_Elise.wav,Took_Her_To_The_O.wav,classical,rap,0.3981,NO
Fur_Elise.wav,PLEDGE.wav,classical,rap,0.3844,NO
Caprice_No24.wav,Ace_Of_Spades.wav,classical,metal,0.3821,NO
Caprice_No24.wav,Cowboys_From_Hell.wav,classical,metal,0.3651,NO
Caprice_No24.wav,Master_of_Puppets.wav,classical,metal,0.3616,NO
Caprice_No24.wav,Took_Her_To_The_O.wav,classical,rap,0.3581,NO
Toccata_Fugue.wav,Cowboys_From_Hell.wav,classical,metal,0.347,NO
Toccata_Fugue.wav,Riptide.wav,classical,pop,0.3389,NO
Toccata_Fugue.wav,MR_RECOUP.wav,classical,rap,0.3387,NO
Fur_Elise.wav,Ace_Of_Spades.wav,classical,metal,0.3383,NO
Toccata_Fugue.wav,Master_of_Puppets.wav,classical,metal,0.3365,NO
Toccata_Fugue.wav,Ace_Of_Spades.wav,classical,metal,0.328,NO
Fur_Elise.wav,Master_of_Puppets.wav,classical,metal,0.3216,NO
Fur_Elise.wav,Cowboys_From_Hell.wav,classical,metal,0.3108,NO
Caprice_No24.wav,PLEDGE.wav,classical,rap,0.3036,NO
Toccata_Fugue.wav,Took_Her_To_The_O.wav,classical,rap,0.2918,NO
Caprice_No24.wav,MR_RECOUP.wav,classical,rap,0.2763,NO
Toccata_Fugue.wav,PLEDGE.wav,classical,rap,0.2727,NO
